100,100
110,50
110,60
110,70
110,80
110,90
110,100
110,110
110,120
110,130
110,140
110,150
110,160
110,180
110,170
110,190
110,200
110,210
110,220
110,230
100,230
90,230
80,230
70,230
60,230
50,230
40,230
30,230
20,230
10,230
0,230
30,70
30,80
30,90
30,100
30,110
30,120
30,130
30,140
30,150
30,160
30,170
30,180
30,190
30,200
30,210
40,210
50,210
60,210
70,210
80,210
80,200
80,190
80,180
80,170
80,160
80,140
80,150
80,130
80,120
80,110
80,100
80,70
90,70
100,70
70,70
60,70
50,70
40,70
40,80
50,80
60,80
50,90
60,90
60,100
50,100
50,110
60,110
60,120
50,120
50,130
60,130
60,140
50,140
50,150
60,150
60,160
50,160
50,170
60,170
60,180
50,180
50,190
60,190
-10,230
-10,220
-10,210
-10,200
-10,190
-10,180
-10,170
-10,160
-10,150
-10,140
-10,130
-10,120
-10,110
-10,90
-10,100
-10,80
-10,70
